time (s),thrust (lbf),thrust (N),impulse (lbf-s),Chamber pressure (psi),Tank pressure (psi),Liquid Oxidizer mass (lbm),Fuel mass (lbm),Oxidizer mass flow rate (lbm/s),Fuel mass flow rate (lbm/s),Oixidizer to Fuel Ratio (unitless),Port Radius (in),Total mass flow rate (lbm/s),cstar (in/s),Chamber temperature (K),Chamber molecular weight (g/mol),gamma (unitless)
0.000,7.221,32.121,0.000,12.300,1350.000,3.780,4.507,1.769,2.829,0.625,0.750,4.598,1.571,3075.000,0.024,1.264
0.020,522.739,2325.144,10.052,890.372,1342.805,3.759,4.483,1.029,1.117,0.921,0.756,2.146,243.605,3075.000,0.024,1.264
0.040,518.309,2305.440,20.488,882.827,1335.981,3.738,4.460,1.030,1.100,0.936,0.761,2.130,243.347,3075.000,0.024,1.264
0.060,515.753,2294.070,30.839,878.473,1329.265,3.718,4.439,1.027,1.078,0.952,0.766,2.105,245.009,3075.000,0.024,1.264
0.080,511.448,2274.922,41.111,871.141,1322.656,3.697,4.417,1.028,1.063,0.967,0.771,2.091,244.634,3075.000,0.024,1.264
0.100,506.936,2254.851,51.305,863.455,1316.152,3.676,4.396,1.029,1.050,0.980,0.776,2.078,243.912,3075.000,0.024,1.264
0.120,503.670,2240.324,61.423,857.892,1309.749,3.656,4.375,1.028,1.033,0.995,0.781,2.060,244.446,3075.000,0.024,1.264
0.140,500.107,2224.475,71.466,851.823,1303.446,3.635,4.355,1.027,1.018,1.010,0.785,2.045,244.545,3075.000,0.024,1.264
0.160,496.730,2209.455,81.438,846.071,1297.242,3.615,4.334,1.027,1.003,1.024,0.790,2.030,244.748,3075.000,0.024,1.264
0.180,492.619,2191.169,91.340,839.069,1291.133,3.594,4.314,1.028,0.991,1.037,0.794,2.019,244.034,3075.000,0.024,1.264
0.200,489.565,2177.583,101.172,833.867,1285.119,3.573,4.295,1.027,0.976,1.052,0.799,2.003,244.396,3075.000,0.024,1.264
0.220,486.237,2162.784,110.938,828.199,1279.196,3.553,4.275,1.026,0.963,1.065,0.803,1.990,244.363,3075.000,0.024,1.264
0.240,483.778,2151.845,120.638,824.010,1273.362,3.532,4.256,1.025,0.948,1.080,0.807,1.973,245.214,3075.000,0.024,1.264
0.260,479.443,2132.562,130.277,816.626,1267.617,3.512,4.237,1.026,0.940,1.092,0.812,1.966,243.875,3075.000,0.024,1.264
0.280,476.360,2118.849,139.852,811.375,1261.958,3.491,4.219,1.026,0.928,1.106,0.816,1.953,243.855,3075.000,0.024,1.264
